date,L65_overheat_fired,top10_sector,top10_sector_pct,top10_pos_or_strong_pos_count,top10_strong_neg_count,top10_pre5d_mean_pct,top10_news_labels,top10_names,top30_top_sector,top30_top_sector_pct,top30_ret_1d,top30_ret_3d,top30_ret_5d,n_ret_1d,n_ret_5d
2025-12-19,False,Manufacturing,0.5,3,1,3.9936029500000005,NO-NEWS;NO-NEWS;NEUTRAL;POS;NEUTRAL;NEUTRAL;STRONG-NEG;NO-NEWS;POS;POS,SNDK/SATS/WBD/ALB/COHR/WDC/ORCL/CIEN/HOOD/NCLH,Manufacturing,0.5666666666666667,-0.00449262062708536,-0.0008989890416463367,-0.01580527822176613,30,30
2025-12-22,False,Manufacturing,0.6,2,0,6.783992650000001,POS;NO-NEWS;NO-NEWS;NO-NEWS;POS;NEG;NO-NEWS;NO-NEWS;NEUTRAL;NO-NEWS,WDC/ALB/SATS/COHR/PSKY/ORCL/SNDK/LITE/DLTR/CIEN,Manufacturing,0.6333333333333333,0.005574552218119275,-0.005117358764012633,-0.02220555345217383,30,30
2025-12-23,False,Manufacturing,0.5,4,0,5.70446366,NO-NEWS;POS;NEUTRAL;POS;NO-NEWS;POS;STRONG-POS;NEUTRAL;NO-NEWS;NEUTRAL,COHR/SNDK/CVNA/HOOD/CIEN/STX/MU/NCLH/DLTR/RCL,Manufacturing,0.4666666666666667,-0.005807363986968983,-0.020897211631139088,-0.008948274453481028,30,30
2025-12-24,False,Manufacturing,0.6,4,0,10.667663150000003,NO-NEWS;POS;NO-NEWS;STRONG-POS;POS;NO-NEWS;POS;NO-NEWS;NO-NEWS;NO-NEWS,COHR/SNDK/ALB/MU/PSKY/LITE/WDC/DLTR/DDOG/XYZ,Manufacturing,0.43333333333333335,-0.007929756244023613,-0.024559634923934908,0.005490042765935266,30,30
2025-12-26,False,Manufacturing,0.5,2,0,5.45160837,STRONG-POS;NO-NEWS;NO-NEWS;NO-NEWS;NO-NEWS;NEUTRAL;NEG;NO-NEWS;NO-NEWS;STRONG-POS,SNDK/COHR/LITE/ALB/SATS/NCLH/MRNA/APP/DLTR/COIN,Manufacturing,0.43333333333333335,-0.006581805149714134,0.007029368480046577,0.0671744366486867,30,30
2025-12-29,False,Manufacturing,0.7,4,0,2.0161974190000005,NO-NEWS;NO-NEWS;STRONG-POS;NO-NEWS;NO-NEWS;POS;POS;NO-NEWS;STRONG-POS;NEUTRAL,LITE/ALB/SNDK/SATS/COHR/WDC/ORCL/CIEN/MU/CVNA,Manufacturing,0.5,-0.013620108366012523,0.02469124992688494,0.06221427122751869,30,30
2025-12-30,False,Manufacturing,0.9,3,0,-2.294452825,POS;NO-NEWS;POS;NO-NEWS;NO-NEWS;NEG;NO-NEWS;NO-NEWS;NO-NEWS;STRONG-POS,SNDK/LITE/WDC/SATS/ALB/MRNA/COHR/SMCI/GNRC/MU,Manufacturing,0.43333333333333335,0.02766726016998289,0.0863432208697001,0.05741917292277017,30,30
2025-12-31,False,Manufacturing,0.9,4,0,-3.82217708,NO-NEWS;POS;NO-NEWS;NEG;POS;NEUTRAL;NO-NEWS;STRONG-POS;POS;NO-NEWS,LITE/SNDK/CIEN/MRNA/WDC/SMCI/COHR/MU/COIN/ALB,Manufacturing,0.5333333333333333,0.00676007270812987,0.04251613418261208,0.038803430398305236,30,30
2026-01-02,False,Manufacturing,0.6,3,0,-0.5573451,NO-NEWS;POS;NO-NEWS;NEUTRAL;NEUTRAL;NO-NEWS;POS;STRONG-POS;NO-NEWS;NEUTRAL,LITE/SNDK/CVNA/NCLH/CIEN/MRNA/APP/MU/SATS/SMCI,Manufacturing,0.5,0.05059495766957598,0.01501174767812093,0.05253992875417071,30,30
2026-01-05,False,Manufacturing,0.4,3,0,1.6118408300000002,NO-NEWS;POS;NO-NEWS;NO-NEWS;NO-NEWS;STRONG-POS;POS;NO-NEWS;NEUTRAL;NEUTRAL,LITE/SNDK/CVNA/APP/MRNA/MU/COIN/SATS/NCLH/HOOD,Manufacturing,0.5333333333333333,-0.01360201835632323,-0.007661841313044223,0.013275092840194702,30,30
