symbol,sic_code,sic_description,industry,sector
BIIB,2836,"BIOLOGICAL PRODUCTS, (NO DIAGNOSTIC SUBSTANCES)",stocks,Manufacturing
BK,6022,STATE COMMERCIAL BANKS,stocks,Finance_Insurance_RealEstate
BKNG,4700,TRANSPORTATION SERVICES,stocks,Transportation_Utilities
BKR,3533,OIL & GAS FIELD MACHINERY & EQUIPMENT,stocks,Manufacturing
BLDR,5211,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,stocks,Retail
BLK,6211,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",stocks,Finance_Insurance_RealEstate
BMY,2834,PHARMACEUTICAL PREPARATIONS,stocks,Manufacturing
BR,7389,"SERVICES-BUSINESS SERVICES, NEC",stocks,Services
BRK.B,6331,"FIRE, MARINE & CASUALTY INSURANCE",stocks,Finance_Insurance_RealEstate
BRO,6411,"INSURANCE AGENTS, BROKERS & SERVICE",stocks,Finance_Insurance_RealEstate
BSX,3841,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,stocks,Manufacturing
BX,6282,INVESTMENT ADVICE,stocks,Finance_Insurance_RealEstate
BXP,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
C,6021,NATIONAL COMMERCIAL BANKS,stocks,Finance_Insurance_RealEstate
CAG,2000,FOOD AND KINDRED PRODUCTS,stocks,Manufacturing
CAH,5122,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",stocks,Wholesale
CARR,3585,AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,stocks,Manufacturing
CASY,5500,RETAIL-AUTO DEALERS & GASOLINE STATIONS,stocks,Retail
CAT,3531,CONSTRUCTION MACHINERY & EQUIP,stocks,Manufacturing
CB,6331,"FIRE, MARINE & CASUALTY INSURANCE",stocks,Finance_Insurance_RealEstate
CBOE,6200,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",stocks,Finance_Insurance_RealEstate
CBRE,6500,REAL ESTATE,stocks,Finance_Insurance_RealEstate
CCI,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
CCL,4400,WATER TRANSPORTATION,stocks,Transportation_Utilities
CDNS,7372,SERVICES-PREPACKAGED SOFTWARE,stocks,Services
CDW,5961,RETAIL-CATALOG & MAIL-ORDER HOUSES,stocks,Retail
CEG,4911,ELECTRIC SERVICES,stocks,Transportation_Utilities
CF,2870,AGRICULTURAL CHEMICALS,stocks,Manufacturing
CFG,6022,STATE COMMERCIAL BANKS,stocks,Finance_Insurance_RealEstate
CHD,2840,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",stocks,Manufacturing
CHRW,4731,ARRANGEMENT OF TRANSPORTATION OF FREIGHT & CARGO,stocks,Transportation_Utilities
CHTR,4841,CABLE & OTHER PAY TELEVISION SERVICES,stocks,Transportation_Utilities
CI,6324,HOSPITAL & MEDICAL SERVICE PLANS,stocks,Finance_Insurance_RealEstate
CIEN,3661,TELEPHONE & TELEGRAPH APPARATUS,stocks,Manufacturing
CINF,6331,"FIRE, MARINE & CASUALTY INSURANCE",stocks,Finance_Insurance_RealEstate
CL,2844,"PERFUMES, COSMETICS & OTHER TOILET PREPARATIONS",stocks,Manufacturing
CLX,2842,"SPECIALTY CLEANING, POLISHING AND SANITATION PREPARATIONS",stocks,Manufacturing
CMCSA,4841,CABLE & OTHER PAY TELEVISION SERVICES,stocks,Transportation_Utilities
CME,6200,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",stocks,Finance_Insurance_RealEstate
CMG,5812,RETAIL-EATING PLACES,stocks,Retail
CMI,3510,ENGINES & TURBINES,stocks,Manufacturing
CMS,4931,ELECTRIC & OTHER SERVICES COMBINED,stocks,Transportation_Utilities
CNC,6324,HOSPITAL & MEDICAL SERVICE PLANS,stocks,Finance_Insurance_RealEstate
CNP,4911,ELECTRIC SERVICES,stocks,Transportation_Utilities
COF,6021,NATIONAL COMMERCIAL BANKS,stocks,Finance_Insurance_RealEstate
COHR,3827,OPTICAL INSTRUMENTS & LENSES,stocks,Manufacturing
COIN,6199,FINANCE SERVICES,stocks,Finance_Insurance_RealEstate
COO,3851,OPHTHALMIC GOODS,stocks,Manufacturing
COP,2911,PETROLEUM REFINING,stocks,Manufacturing
COR,5122,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",stocks,Wholesale
COST,5331,RETAIL-VARIETY STORES,stocks,Retail
CPAY,7389,"SERVICES-BUSINESS SERVICES, NEC",stocks,Services
CPB,2000,FOOD AND KINDRED PRODUCTS,stocks,Manufacturing
CPRT,5500,RETAIL-AUTO DEALERS & GASOLINE STATIONS,stocks,Retail
CPT,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
CRH,3241,"CEMENT, HYDRAULIC",stocks,Manufacturing
CRL,8731,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,stocks,Services
CRM,7372,SERVICES-PREPACKAGED SOFTWARE,stocks,Services
CRWD,7372,SERVICES-PREPACKAGED SOFTWARE,stocks,Services
CSCO,3576,COMPUTER COMMUNICATIONS EQUIPMENT,stocks,Manufacturing
CSGP,7389,"SERVICES-BUSINESS SERVICES, NEC",stocks,Services
CSX,4011,"RAILROADS, LINE-HAUL OPERATING",stocks,Transportation_Utilities
CTAS,2320,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",stocks,Manufacturing
CTRA,1311,CRUDE PETROLEUM & NATURAL GAS,stocks,Mining
CTSH,7371,SERVICES-COMPUTER PROGRAMMING SERVICES,stocks,Services
CTVA,100,,stocks,Agriculture
CVNA,5500,RETAIL-AUTO DEALERS & GASOLINE STATIONS,stocks,Retail
CVS,5912,RETAIL-DRUG STORES AND PROPRIETARY STORES,stocks,Retail
CVX,2911,PETROLEUM REFINING,stocks,Manufacturing
D,4911,ELECTRIC SERVICES,stocks,Transportation_Utilities
DAL,4512,"AIR TRANSPORTATION, SCHEDULED",stocks,Transportation_Utilities
DASH,7389,"SERVICES-BUSINESS SERVICES, NEC",stocks,Services
DD,2821,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",stocks,Manufacturing
DDOG,7372,SERVICES-PREPACKAGED SOFTWARE,stocks,Services
DE,3523,FARM MACHINERY & EQUIPMENT,stocks,Manufacturing
DECK,3021,RUBBER & PLASTICS FOOTWEAR,stocks,Manufacturing
DELL,3571,ELECTRONIC COMPUTERS,stocks,Manufacturing
DG,5331,RETAIL-VARIETY STORES,stocks,Retail
DGX,8071,SERVICES-MEDICAL LABORATORIES,stocks,Services
DHI,1531,OPERATIVE BUILDERS,stocks,Construction
DHR,3823,"INDUSTRIAL INSTRUMENTS FOR MEASUREMENT, DISPLAY, AND CONTROL",stocks,Manufacturing
DIS,7990,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,stocks,Services
DLR,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
DLTR,5331,RETAIL-VARIETY STORES,stocks,Retail
DOC,6798,REAL ESTATE INVESTMENT TRUSTS,stocks,Finance_Insurance_RealEstate
